College,Email,Sent_Status
Yash,harrypotterisapro@gmail.com,Sent
Abilene Christian University,info@admissions.acu.edu,Sent
Academy Of Art University,admissions@academyart.edu,Sent
Acadia University,admissions@acadiau.ca,Sent
Adams State University,admissions@adams.edu,Sent
Adelphi University,admissions@adelphi.edu,Sent
Adrian College,admissions@adrian.edu,Sent
Agnes Scott College,admission@agnesscott.edu,Sent
Alabama Agricultural And Mechanical University,admissions@aamu.edu,Sent
Alabama State University,admissions@alasu.edu,Sent
Alaska Bible College,info@akbible.edu,Sent
Alaska Pacific University,admissions@alaskapacific.edu,Sent
Albany College Pharmacy And Health Sciences,admissions@acphs.edu,Sent
Albany State University,admissions@asurams.edu,Sent
Albertus Magnus College,admissions@albertus.edu,Sent
Albion College,admission@albion.edu,Sent
Albright College,admission@alb.edu,Sent
Alcorn State University,ksampson@alcorn.edu,Sent
Alderson Broaddus University,admissions@ab.edu,Sent
Alfred University,admissions@alfred.edu,Sent
Alice Lloyd College,admissions@alc.edu,Sent
Allegheny College,admissions@allegheny.edu,Sent
Allen College,admissions@allencollege.edu,Sent
Allen University,admissions@allenuniversity.edu,Sent
Alma College,admissions@alma.edu,Sent
Alvernia University,admissions@alvernia.edu,Sent
Alverno College,admissions@alverno.edu,Sent
American Baptist College,atrice@abcnash.edu,Sent
American International College,admissions@aic.edu,Sent
American Jewish University,admissions@aju.edu,Sent
American University,admissions@american.edu,Sent
American University Beirut Aub,admissions@aub.edu.lb,Sent
American University Bulgaria,admissions@aubg.edu,Sent
American University Paris,admissions@aup.edu,Sent
American University Rome,admissions@aur.edu,Sent
Amherst College,admission@amherst.edu,Sent
Anderson University,info@anderson.edu,Sent
Andrews University,enroll@andrews.edu,Sent
Angelo State University,admissions@angelo.edu,Sent
Anna Maria College,admission@annamaria.edu,Sent
Antioch College,admission@antiochcollege.edu,Sent
Appalachian Bible College,admissions@abc.edu,Sent
Appalachian State University,admissions@appstate.edu,Sent
Aquinas College,admissions@aquinas.edu,Sent
Aquinas College,admissions@aquinascollege.edu,Sent
Arcadia University,admiss@arcadia.edu,Sent
Arizona Christian University,admissions@arizonachristian.edu,Sent
Arizona State University,admissions@asu.edu,Sent
Arkansas Baptist College,admissions@arkansasbaptist.edu,Sent
Arkansas State University,admissions@astate.edu,Sent
Arkansas Tech University,tech.enroll@atu.edu,Sent
Arlington Baptist University,kmarvin@arlingtonbaptistcollege.edu,Sent
Art Academy Cincinnati,admissions@artacademy.edu,Sent
Art Center College Of Design,admissions@artcenter.edu,Sent
Arts University Bournemouth Uk,admissions@aub.ac.uk,Sent
Asbury University,admissions@asbury.edu,Sent
Ashland University,enrollme@ashland.edu,Sent
Assumption College,admiss@assumption.edu,Sent
Athens State University,admissions@athens.edu,Sent
Auburn University,admissions@auburn.edu,Sent
Auburn University At Montgomery,admissions@aum.edu,Sent
Augsburg University,admissions@augsburg.edu,Sent
Augusta University,admissions@augusta.edu,Sent
Augustana College Illinois,admissions@augustana.edu,Sent
Augustana University South Dakota,admission@augie.edu,Sent
Aurora University,admission@aurora.edu,Sent
Austin College,admission@austincollege.edu,Sent
Austin Graduate School Of Theology,admissions@austingrad.edu,Sent
Austin Peay State University,admissions@apsu.edu,Sent
Ave Maria University,admissions@avemaria.edu,Sent
Averett University,admit@averett.edu,Sent
Avila University,admissions@avila.edu,Sent
Azusa Pacific University,admissions@apu.edu,Sent
Babson College,ugradadmission@babson.edu,Sent
Baker University,admission@bakeru.edu,Sent
Baldwin Wallace University,admission@bw.edu,Sent
Ball State University,askus@bsu.edu,Sent
Baptist College Of Florida,admissions@baptistcollege.edu,Sent
Baptist College Of Health Sciences,admissions@bchs.edu,Sent
Barclay College,admissions@barclaycollege.edu,Sent
Bard College,admission@bard.edu,Sent
Bard College Berlin,admissions@berlin.bard.edu,Sent
Bard College Simons Rock Early College,admit@simons-rock.edu,Sent
Barnard College,admissions@barnard.edu,Sent
Barry University,admissions@barry.edu,Sent
Barton College,enroll@barton.edu,Sent
Bastyr University,admissions@bastyr.edu,Sent
Bates College,admission@bates.edu,Sent
Bath Spa University,internationaladmissions@bathspa.ac.uk,Sent
Bay Path University,admiss@baypath.edu,Sent
Baylor University,admissions@baylor.edu,Sent
Beacon College,admissions@beaconcollege.edu,Sent
Becker College,admissions@becker.edu,Sent
Belhaven University,admission@belhaven.edu,Sent
Bellarmine University,admission@bellarmine.edu,Sent
Bellarmine University,admissions@bellarmine.edu,Sent
Belmont Abbey College,admissions@bac.edu,Sent
Belmont University,admissions@belmont.edu,Sent
